r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,Cleric,,,,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtscnw,gtst,gtst,gtst,gtst,gtst,gtscne,,gtscnw,gtst,gtst,gtst,gtst,gtst,gtst,gtscne,gtscnw,gtst,gtst,gtst,gtscne,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r
r,,,,,,,,,,,,,,,,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtscnw,gtst,gtst,gtscne,gtsl,w,w,w,w,w,gtsr,,gtsl,w,w,w,w,w,w,gtsr,gtsl,w,w,w,gtsr,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,r,r,r,,,,,,,,,,,,r,,,,,,,m,,,,,,,,,,,,,,,,,,,r,,,,,,,r
r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtsl,w,w,gtsr,gtsl,w,w,w,w,w,gtsr,,gtsl,w,w,w,w,w,w,gtsr,gtsl,w,w,w,gtsr,,,m,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,r,r,r,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,r
r,,,,,p,p,p,Barbarian,,,,,,,,,,,,,,,,r,r,,,,,,m,,,,,,,,,,,,,,gtsl,w,w,gtsr,gtsl,w,w,w,w,w,gtsr,,gtsl,w,w,w,w,w,w,gtsr,gtscsw,gtsb,gtsb,gtsb,gtst,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,r,r,r,r,r,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,r
r,,,,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,gtsl,w,w,gtsr,gtsl,w,w,w,w,w,gtsr,,gtsl,w,w,w,w,w,w,gtsr,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,r,r,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,r
r,,,,p,p,p,p,p,p,p,p,p,,,,m,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,gtscsw,gtsb,gtsb,gtst,gtsl,w,w,w,w,w,gtsr,,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtst,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,m,,,,r
r,,,,,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtsl,w,w,w,w,w,gtsr,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,r
r,,Fighter,,,,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtst,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,m,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,r
r,,,,,,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,r
